le,method,min,max,avg,sum,last,integral
50.0,iam.v1.awscompatibility.DelegationKeyService/GetKeyIdForSubject,0,0,0,0,0,0
50.0,iam.v1.awscompatibility.AccessKeyService/Get,0,0,0,0,0,0
50.0,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
50.0,iam.v1.UserAccountService/GetSettings,0,0,0,0,0,0
50.0,iam.v1.UserAccountService/Get,0,0,0,0,0,0
50.0,iam.v1.SubjectService/BulkGetOrCreate,0,0,0,0,0,0
50.0,iam.v1.SubjectContainerService/Get,0,0,0,0,0,0
50.0,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
50.0,iam.v1.ServiceAccountService/Get,0,0,0,0,0,0
50.0,iam.v1.RoleService/Get,0,0,0,0,0,0
50.0,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
50.0,iam.v1.RestrictionService/Get,0,0,0,0,0,0
50.0,iam.v1.QuotaService/Get,0,0,0,0,0,0
50.0,iam.v1.QuotaLimitService/Get,0,0,0,0,0,0
50.0,iam.v1.PermissionService/Get,0,0,0,0,0,0
50.0,iam.v1.OperationService/Get,0,0,0,0,0,0
50.0,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
50.0,iam.v1.OAuthClientService/Get,0,0,0,0,0,0
50.0,iam.v1.OAuthClientSecretService/Get,0,0,0,0,0,0
50.0,iam.v1.KeyService/Get,0,0,0,0,0,0
50.0,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
25.0,organizationmanager.v1.OsLoginService/GetSettings,0,0,0,0,0,0
25.0,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
25.0,organizationmanager.v1.GroupService/Get,0,0,0,0,0,0
25.0,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
25.0,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
25.0,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
25.0,iam.v1.awscompatibility.DelegationKeyService/GetKeyIdForSubject,0,0,0,0,0,0
25.0,iam.v1.awscompatibility.AccessKeyService/Get,0,0,0,0,0,0
25.0,iam.v1.UserAccountService/GetSettings,0,0,0,0,0,0
25.0,iam.v1.UserAccountService/Get,0,0,0,0,0,0
25.0,iam.v1.SubjectService/BulkGetOrCreate,0,0,0,0,0,0
25.0,iam.v1.SubjectContainerService/Get,0,0,0,0,0,0
25.0,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
25.0,iam.v1.ServiceAccountService/Get,0,0,0,0,0,0
25.0,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
25.0,iam.v1.RestrictionService/Get,0,0,0,0,0,0
25.0,iam.v1.QuotaService/Get,0,0,0,0,0,0
25.0,iam.v1.QuotaLimitService/Get,0,0,0,0,0,0
25.0,iam.v1.PermissionService/Get,0,0,0,0,0,0
25.0,iam.v1.OperationService/Get,0,0,0,0,0,0
25.0,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
25.0,iam.v1.OAuthClientService/Get,0,0,0,0,0,0
25.0,iam.v1.OAuthClientSecretService/Get,0,0,0,0,0,0
25.0,iam.v1.KeyService/Get,0,0,0,0,0,0
25.0,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
10.0,organizationmanager.v1.OsLoginService/GetSettings,0,0,0,0,0,0
10.0,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
10.0,organizationmanager.v1.GroupService/Get,0,0,0,0,0,0
10.0,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
10.0,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
10.0,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
10.0,iam.v1.awscompatibility.DelegationKeyService/GetKeyIdForSubject,0,0,0,0,0,0
10.0,iam.v1.awscompatibility.AccessKeyService/Get,0,0,0,0,0,0
10.0,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
10.0,iam.v1.UserAccountService/GetSettings,0,0,0,0,0,0
10.0,iam.v1.UserAccountService/Get,0,0,0,0,0,0
10.0,iam.v1.SubjectService/BulkGetOrCreate,0,0,0,0,0,0
10.0,iam.v1.SubjectContainerService/Get,0,0,0,0,0,0
10.0,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
10.0,iam.v1.ServiceAccountService/Get,0,0,0,0,0,0
10.0,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
10.0,iam.v1.RestrictionService/Get,0,0,0,0,0,0
10.0,iam.v1.QuotaService/Get,0,0,0,0,0,0
10.0,iam.v1.PermissionService/Get,0,0,0,0,0,0
10.0,iam.v1.OperationService/Get,0,0,0,0,0,0
10.0,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
10.0,iam.v1.OAuthClientService/Get,0,0,0,0,0,0
10.0,iam.v1.OAuthClientSecretService/Get,0,0,0,0,0,0
10.0,iam.v1.KeyService/Get,0,0,0,0,0,0
10.0,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
7.5,organizationmanager.v1.OsLoginService/GetSettings,0,0,0,0,0,0
7.5,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
7.5,organizationmanager.v1.GroupService/Get,0,0,0,0,0,0
7.5,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
7.5,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
7.5,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
7.5,iam.v1.awscompatibility.DelegationKeyService/GetKeyIdForSubject,0,0,0,0,0,0
7.5,iam.v1.awscompatibility.AccessKeyService/Get,0,0,0,0,0,0
7.5,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
7.5,iam.v1.UserAccountService/Get,0,0,0,0,0,0
7.5,iam.v1.SubjectService/BulkGetOrCreate,0,0,0,0,0,0
7.5,iam.v1.SubjectContainerService/Get,0,0,0,0,0,0
7.5,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
7.5,iam.v1.ServiceAccountService/Get,0,0,0,0,0,0
7.5,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
7.5,iam.v1.RestrictionService/Get,0,0,0,0,0,0
7.5,iam.v1.QuotaService/Get,0,0,0,0,0,0
7.5,iam.v1.QuotaLimitService/Get,0,0,0,0,0,0
7.5,iam.v1.PermissionService/Get,0,0,0,0,0,0
7.5,iam.v1.OperationService/Get,0,0,0,0,0,0
7.5,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
7.5,iam.v1.OAuthClientService/Get,0,0,0,0,0,0
7.5,iam.v1.OAuthClientSecretService/Get,0,0,0,0,0,0
7.5,iam.v1.KeyService/Get,0,0,0,0,0,0
7.5,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
5.0,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
5.0,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
5.0,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
5.0,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
5.0,iam.v1.awscompatibility.DelegationKeyService/GetKeyIdForSubject,0,0,0,0,0,0
5.0,iam.v1.awscompatibility.AccessKeyService/Get,0,0,0,0,0,0
5.0,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
5.0,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
5.0,iam.v1.RoleService/Get,0,0,0,0,0,0
5.0,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
5.0,iam.v1.RestrictionService/Get,0,0,0,0,0,0
5.0,iam.v1.QuotaService/Get,0,0,0,0,0,0
5.0,iam.v1.PermissionService/Get,0,0,0,0,0,0
5.0,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
5.0,iam.v1.OAuthClientService/Get,0,0,0,0,0,0
5.0,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
2.5,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
2.5,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
2.5,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
2.5,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
2.5,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
2.5,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
2.5,iam.v1.PermissionService/Get,0,0,0,0,0,0
2.5,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
2.5,iam.v1.OAuthClientSecretService/Get,0,0,0,0,0,0
2.5,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
1.0,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
1.0,organizationmanager.v1.GroupService/Get,0,0,0,0,0,0
1.0,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
1.0,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
1.0,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
1.0,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
1.0,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
1.0,iam.v1.PermissionService/Get,0,0,0,0,0,0
1.0,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
1.0,iam.v1.ApiKeyService/Get,0,0,0,0,0,0
0.75,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
0.75,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
0.75,iam.v1.workload.oidc.FederationService/Get,0,0,0,0,0,0
0.75,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
0.75,iam.v1.ServiceControlService/Get,0,0,0,0,0,0
0.75,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
0.75,iam.v1.PermissionService/Get,0,0,0,0,0,0
0.75,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
0.5,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
0.5,organizationmanager.v1.GroupService/BatchGet,0,0,0,0,0,0
0.5,iam.v1.workload.FederatedCredentialService/Get,0,0,0,0,0,0
0.5,iam.v1.RestrictionTypeService/Get,0,0,0,0,0,0
0.5,iam.v1.PermissionService/Get,0,0,0,0,0,0
0.5,iam.v1.OAuthScopeService/Get,0,0,0,0,0,0
0.25,organizationmanager.v1.OsLoginService/GetProfile,0,0,0,0,0,0
