le,method,min,max,avg,sum,last,integral
50.0,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
50.0,iam.v1.SubjectDetailsService/List,0,0,0,0,0,0
50.0,iam.v1.SubjectDetailsService/Get,0,0,0,0,0,0
50.0,iam.v1.SubjectDetailsService/BatchGet,0,0,0,0,0,0
25.0,oauth.v1.UserCredentialCookieService/UpdateCookie,0,0,0,0,0,0
25.0,oauth.v1.UserCredentialCookieService/GetEnteredAuthenticationMethods,0,0,0,0,0,0
25.0,oauth.v1.SessionService/UpdateBaseForSubject,0,0,0,0,0,0
25.0,oauth.v1.SessionService/Logout,0,0,0,0,0,0
25.0,oauth.v1.SessionService/GetOpenIDConfiguration,0,0,0,0,0,0
25.0,oauth.v1.SessionService/GenerateAuthIntent,0,0,0,0,0,0
25.0,oauth.v1.SessionService/CreateBaseForSubject,0,0,0,0,0,0
25.0,oauth.v1.SessionService/Create,0,0,0,0,0,0
25.0,oauth.v1.SessionService/CheckPassport,0,0,0,0,0,0
25.0,oauth.v1.SessionService/CheckAuthIntent,0,0,0,0,0,0
25.0,oauth.v1.LoginHistoryService/List,0,0,0,0,0,0
25.0,oauth.v1.LoginHistoryService/Delete,0,0,0,0,0,0
25.0,oauth.v1.LoginDiscoveryService/DiscoverLogin,0,0,0,0,0,0
25.0,oauth.v1.IdTokenService/CreateForServiceAccount,0,0,0,0,0,0
25.0,oauth.v1.ClaimService/Get,0,0,0,0,0,0
25.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
25.0,iam.v1.YandexPassportUserAccountService/GetByUid,0,0,0,0,0,0
25.0,iam.v1.YandexPassportUserAccountService/GetByLogin,0,0,0,0,0,0
25.0,iam.v1.SubjectDetailsService/List,0,0,0,0,0,0
25.0,iam.v1.SubjectDetailsService/Get,0,0,0,0,0,0
25.0,iam.v1.SubjectDetailsService/BatchGet,0,0,0,0,0,0
10.0,oauth.v1.UserCredentialCookieService/UpdateCookie,0,0,0,0,0,0
10.0,oauth.v1.UserCredentialCookieService/GetEnteredAuthenticationMethods,0,0,0,0,0,0
10.0,oauth.v1.SessionService/UpdateBaseForSubject,0,0,0,0,0,0
10.0,oauth.v1.SessionService/Logout,0,0,0,0,0,0
10.0,oauth.v1.SessionService/GetOpenIDConfiguration,0,0,0,0,0,0
10.0,oauth.v1.SessionService/GenerateAuthIntent,0,0,0,0,0,0
10.0,oauth.v1.SessionService/CreateBaseForSubject,0,0,0,0,0,0
10.0,oauth.v1.SessionService/Create,0,0,0,0,0,0
10.0,oauth.v1.SessionService/CheckPassport,0,0,0,0,0,0
10.0,oauth.v1.SessionService/CheckAuthIntent,0,0,0,0,0,0
10.0,oauth.v1.SessionService/Check,0,0,0,0,0,0
10.0,oauth.v1.SessionService/AcceptEula,0,0,0,0,0,0
10.0,oauth.v1.LoginHistoryService/List,0,0,0,0,0,0
10.0,oauth.v1.LoginHistoryService/Delete,0,0,0,0,0,0
10.0,oauth.v1.LoginDiscoveryService/DiscoverLogin,0,0,0,0,0,0
